"lon" "lat" "currentDist"
"1037" 12 3 141
"1038" 12 4 152
"1039" 12 5 137
"1040" 12 6 103
"1041" 12 7 133
"1042" 12 8 164
"1043" 12 9 137
"1044" 12 10 136
"1045" 12 11 128
"1046" 12 12 138
"1047" 12 13 136
"1048" 12 14 126
"1049" 12 15 126
"1050" 12 16 181
"1051" 12 17 123
"1052" 12 18 130
"1053" 12 19 101
"1054" 12 20 122
"1055" 12 21 135
"1056" 12 22 113
"1057" 12 23 163
"1058" 12 24 118
"1059" 12 25 159
"1060" 12 26 123
"1061" 12 27 135
"1062" 12 28 150
"1063" 12 29 159
"1064" 12 30 215
"1065" 12 31 138
"1066" 12 32 133
"1067" 12 33 120
"1068" 12 34 137
"1069" 12 35 162
"1070" 12 36 191
"1071" 12 37 189
"1072" 12 38 165
"1073" 12 39 142
"1074" 12 40 147
"1075" 12 41 120
"1076" 12 42 94
"1077" 12 43 119
"1078" 12 44 98
"1079" 12 45 134
"1080" 12 46 87
"1081" 12 47 82
"1082" 12 48 88
"1083" 12 49 72
"1084" 12 50 96
"1085" 12 51 111
"1086" 12 52 112
"1087" 12 53 111
"1088" 12 54 114
"1089" 12 55 120
"1090" 12 56 130
"1091" 12 57 82
"1092" 12 58 108
"1093" 12 59 114
"1094" 12 60 108
"1095" 12 61 125
"1096" 12 62 150
"1097" 12 63 115
"1098" 12 64 90
"1099" 12 65 104
"1100" 12 66 70
"1101" 12 67 86
"1102" 12 68 82
"1103" 12 69 100
"1104" 12 70 92
"1105" 12 71 95
"1106" 12 72 106
"1107" 12 73 66
"1108" 12 74 92
"1109" 12 75 70
"1110" 12 76 78
"1111" 12 77 100
"1112" 12 78 107
"1113" 12 79 133
"1114" 12 80 123
"1115" 12 81 119
"1116" 12 82 119
"1117" 12 83 123
"1118" 12 84 91
"1119" 12 85 89
"1120" 12 86 139
"1121" 12 87 80
"1122" 12 88 104
"1123" 12 89 94
"1124" 12 90 83
"1125" 12 91 65
"1126" 12 92 88
"1127" 12 93 102
"1128" 12 94 105
"1129" 13 1 140
"1130" 13 2 151
"1131" 13 3 127
"1132" 13 4 140
"1133" 13 5 117
"1134" 13 6 145
"1135" 13 7 167
"1136" 13 8 144
"1137" 13 9 121
"1138" 13 10 128
"1139" 13 11 138
"1140" 13 12 122
"1141" 13 13 142
"1142" 13 14 164
"1143" 13 15 152
"1144" 13 16 143
"1145" 13 17 128
"1146" 13 18 132
"1147" 13 19 120
"1148" 13 20 135
"1149" 13 21 167
"1150" 13 22 141
"1151" 13 23 153
"1152" 13 24 157
"1153" 13 25 132
"1154" 13 26 133
"1155" 13 27 122
"1156" 13 28 132
"1157" 13 29 142
"1158" 13 30 194
"1159" 13 31 142
"1160" 13 32 134
"1161" 13 33 131
"1162" 13 34 140
"1163" 13 35 159
"1164" 13 36 125
"1165" 13 37 176
"1166" 13 38 157
"1167" 13 39 170
"1168" 13 40 140
"1169" 13 41 109
"1170" 13 42 126
"1171" 13 43 108
"1172" 13 44 132
"1173" 13 45 135
"1174" 13 46 109
"1175" 13 47 84
"1176" 13 48 75
"1177" 13 49 72
